stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather hfc,529,2011-03-09,12:45:00,upper feather hfc,release_100m above falls,484,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,no,NA,NA,FALSE
feather river,upper feather hfc,530,2011-03-10,12:45:00,upper feather hfc,release_100m above falls,1496,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,531,2014-02-20,21:00:00,upper feather hfc,herringer release boxes,473,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather hfc,532,2014-02-25,13:15:00,upper feather hfc,next to herringer release boxes,465,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,533,2014-02-26,12:00:00,upper feather hfc,next to herringer release boxes,476,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,534,2014-03-06,13:10:00,upper feather hfc,next to herringer release boxes,510,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,535,2014-03-07,10:20:00,upper feather hfc,herringer release boxes,226,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,536,2014-03-07,10:20:00,upper feather hfc,next to herringer release boxes,201,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,537,2014-03-13,13:43:00,upper feather hfc,next to herringer release boxes,447,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,538,2014-03-14,12:00:00,upper feather hfc,next to herringer release boxes,239,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,539,2014-03-14,12:00:00,upper feather hfc,next to herringer release boxes,240,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,540,2014-03-20,10:52:00,upper feather hfc,next to herringer release boxes,478,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,541,2014-03-21,09:45:00,upper feather hfc,next to herringer release boxes,246,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,542,2014-02-19,21:00:00,upper feather lfc,gateway release boxes,499,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,TRUE
feather river,upper feather lfc,543,2014-02-25,12:00:00,upper feather lfc,next to gateway release boxes,365,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,544,2014-02-26,12:25:00,upper feather lfc,next to gateway release boxes,495,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,545,2014-02-26,21:00:00,upper feather lfc,gateway release boxes,404,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,546,2014-03-06,11:55:00,upper feather lfc,next to gateway release boxes,483,NA,natural,fall,not recorded,gateway riffle,NA,NA,NA,NA,yes,NA,NA,FALSE
